Biological Relationship Name,PMID or Knowledge Base ID,Evidence Source,List of Elements,Quoted Evidence
Increased IL-1β in periodontitis,36981618,PubMed,IL-1β; EGF,“over expression of interleukin 1-β (IL-1β) are significant in patients suffering from cognitive decline with pre-existing severe periodontitis.”
MMP-8 as a diagnostic marker,38086426,PubMed,MMP-8; IL-1β,“The test also revealed that IL-1β levels were higher in the periodontitis group compared with the healthy control and gingivitis group.”
IL-1β and MMP-8 associated with periodontal disease,36852252,PubMed,IL-1β; MMP-8,“the salivary markers with high applicability were IL-1β for differentiating patients with chronic periodontal disease”
MMP-8 associated with IL-1β,36322996,PubMed,MMP-8; IL-1β,“significant reduction in interleukin-1β (IL-1β)”
EGF induced by IL-1β,12558807,PubMed,EGF; IL-1β,“IL-1 beta stimulated KGF and SF expression”
PDGF induced by IL-1β,12558807,PubMed,PDGF; IL-1β,“IL-1 beta stimulated KGF and SF expression”
IL-1β increases MMP-8,23174014,PubMed,MMP-8; IL-1β,“Patients with severe periodontitis presented with elevated salivary concentrations of IL-1β (p < 0.001) and MMP-8 (p < 0.001).”
IL-1β correlates with MMP-8,33658891,PubMed,MMP-8; IL-1β,“No significant correlations were observed between the occurrence of individual periopathogens and concentrations of MMP-8 and IL-1β depending on the diagnosis.”
MMP-8 correlation,39730430,PubMed,MMP-8; IL-1β,"“salivary biomarkers showed significant elevations in MMP-8, MMP-9, resistin, IL-1β, IL-6”"
IL-1β induces RANKL,30015235,PubMed,IL-1β; RANKL,“more RANKL in terms of both protein and mRNA levels than other subpopulations”
EGF is associated with PDGF,7700221,PubMed,EGF; PDGF,“EGF... are important mediators of cellular events in wound healing”
cell-cytokine interaction,CL_0000236,ImmuneXpresso,B-cell; IL-1α,"record [CL_0000236, IL-1α]: 20 paper(s), enrichment score 1.98"
cell-cytokine interaction,CL_0000236,ImmuneXpresso,IL-1β; B-cell,"record [CL_0000236, IL-1β]: 3 paper(s), enrichment score 0.19"
cell-cytokine interaction,CL_0000820,ImmuneXpresso,B-cell; IL-1β,"record [CL_0000820, IL-1β]: 1 paper(s), enrichment score 23.21"
cell-cytokine interaction,CL_0000817,ImmuneXpresso,IL-1β; B-cell,"record [CL_0000817, IL-1β]: 1 paper(s), enrichment score 2.36"
cell-cytokine interaction,CL_0000817,ImmuneXpresso,IL-1α; B-cell,"record [CL_0000817, IL-1α]: 1 paper(s), enrichment score 86.44"
cell-cytokine interaction,CL_0000057,ImmuneXpresso,EGF; fibroblast,"record [CL_0000057, EGF]: 10 paper(s), enrichment score 11.61"
cell-cytokine interaction,CL_0000066,ImmuneXpresso,EGF; epithelial cell,"record [CL_0000066, EGF]: 7 paper(s), enrichment score 20.33"
cell-cytokine interaction,CL_0000312,ImmuneXpresso,EGF; keratinocyte,"record [CL_0000312, EGF]: 4 paper(s), enrichment score 37.28"
cell-cytokine interaction,CL_0000057,ImmuneXpresso,PDGF; fibroblast,"record [CL_0000057, PDGF]: 17 paper(s), enrichment score 15.09"
cell-cytokine interaction,CL_0000233,ImmuneXpresso,PDGF; platelet,"record [CL_0000233, PDGF]: 9 paper(s), enrichment score 11.31"
cell-cytokine interaction,CL_0000192,ImmuneXpresso,PDGF; smooth muscle cell,"record [CL_0000192, PDGF]: 7 paper(s), enrichment score 67.42"
cell-cytokine interaction,CL_0000312,ImmuneXpresso,keratinocyte; IL-1α,"record [CL_0000312, IL-1α]: 19 paper(s), enrichment score 26.56"
cell-cytokine interaction,CL_0000235,ImmuneXpresso,macrophage; IL-1α,"record [CL_0000235, IL-1α]: 18 paper(s), enrichment score 4"
cell-cytokine interaction,CL_0000576,ImmuneXpresso,monocyte; IL-1α,"record [CL_0000576, IL-1α]: 13 paper(s), enrichment score 4.85"
cell-cytokine interaction,CL_0000235,ImmuneXpresso,macrophage; IL-1β,"record [CL_0000235, IL-1β]: 122 paper(s), enrichment score 5.62"
cell-cytokine interaction,CL_0000576,ImmuneXpresso,monocyte; IL-1β,"record [CL_0000576, IL-1β]: 87 paper(s), enrichment score 6.2"
cell-cytokine interaction,CL_0000138,ImmuneXpresso,IL-1β; chondrocyte,"record [CL_0000138, IL-1β]: 38 paper(s), enrichment score 11.47"
cell-cytokine interaction,CL_0000218,ImmuneXpresso,GDF-15; myelinating Schwann cell,"record [CL_0000218, GDF-15]: 7 paper(s), enrichment score 1098.7"
cell-cytokine interaction,CL_0000540,ImmuneXpresso,GDF-15; neuron,"record [CL_0000540, GDF-15]: 6 paper(s), enrichment score 51.5"
cell-cytokine interaction,CL_0000746,ImmuneXpresso,GDF-15; cardiac muscle cell,"record [CL_0000746, GDF-15]: 5 paper(s), enrichment score 47.9"
cell-cytokine interaction,CL_0000236,ImmuneXpresso,B-cell; IL4,"record [CL_0000236, IL4]: 105 paper(s), enrichment score 6.65"
cell-cytokine interaction,CL_0000236,ImmuneXpresso,B-cell; IL10,"record [CL_0000236, IL10]: 95 paper(s), enrichment score 5.49"
UniProt-annotated virulence factor (KW-0843),A0A246K8E8,UniProt,Brevundimonas diminuta; Type III secretion system export apparatus subunit SctS,Virulence
UniProt-annotated virulence factor (KW-0843),M2PKQ7,UniProt,Eggerthia catenaformis; Heme response regulator HssR,Regulation of virulence expression
UniProt-annotated virulence factor (KW-0843),Q03C96,UniProt,Lactobacillus paracasei; HTH-type transcriptional regulator MgrA (HTH-type transcriptional regulator SarZ) (Staphylococcal accessory regulator Z),DNA binding
UniProt-annotated virulence factor (KW-0843),A0A7S7FMU5,UniProt,Lactobacillus rhamnosus; Heme response regulator HssR,Regulation of virulence expression
UniProt-annotated virulence factor (KW-0843),A0A134AA91,UniProt,Leptotrichia wadei; Endoribonuclease VapD (EC 3.1.-.-),RNA cleavage
UniProt-annotated virulence factor (KW-0843),U2YAS6,UniProt,Streptococcus constellatus; Aldehyde-alcohol dehydrogenase,Virulence
UniProt-annotated virulence factor (KW-0843),Q2PHL4,UniProt,Streptococcus mitis; Thiol-activated cytolysin,Cytolysis by pore formation
UniProt-annotated virulence factor (KW-0843),A0SZW8,UniProt,Streptococcus mitis; Thiol-activated cytolysin,Cytolysis by pore formation
UniProt-annotated virulence factor (KW-0843),A0SZW9,UniProt,Streptococcus mitis; Thiol-activated cytolysin,Cytolysis by pore formation
UniProt-annotated virulence factor (KW-0843),A0SZX0,UniProt,Streptococcus mitis; Thiol-activated cytolysin,Cytolysis by pore formation
UniProt-annotated virulence factor (KW-0843),A0SZX4,UniProt,Streptococcus mitis; Thiol-activated cytolysin,Cytolysis by pore formation
UniProt-annotated virulence factor (KW-0843),A0SZX1,UniProt,Streptococcus mitis; Thiol-activated cytolysin,Cytolysis by pore formation
UniProt-annotated virulence factor (KW-0843),A0SZX3,UniProt,Streptococcus mitis; Thiol-activated cytolysin,Cytolysis by pore formation
UniProt-annotated virulence factor (KW-0843),A0SZX2,UniProt,Streptococcus mitis; Thiol-activated cytolysin,Cytolysis by pore formation
UniProt-annotated virulence factor (KW-0843),A3CK27,UniProt,Streptococcus sanguinis; Aldehyde-alcohol dehydrogenase,Virulence
UniProt-annotated virulence factor (KW-0843),A3CR38,UniProt,Streptococcus sanguinis; Type VII secretion system accessory factor EsaA,Virulence
