PMID or Knowledge Base ID,Evidence Source,Element A,Relation,Element B,Supporting Evidence
32149126,PubMed,IL-6,induces,Neutrophils,“Calprotectin binds to RAGE and TLR4 and induces the expression of proinflammatory chemokines and cytokines.”
21513479,PubMed,IL-6,associates with,Neutrophils,"“higher interleukin (IL)-1α, IL-6, IL-8, and tumor necrosis factor-α levels”"
42403364,PubMed,IL-6,enhances,Neutrophils,"“persistent activation of nuclear factor kappa-B (NF-κB) and mitogen-activated protein kinase (MAPK) pathways further enhance osteoclast differentiation, survival, and resorptive activity.”"
39311693,PubMed,IL-6,correlates with,Neutrophils,“we found both patients with periodontitis and patients with periodontitis and diabetes showed higher IL-17 levels and lower Del-1 levels compared with healthy subjects.”
37681356,PubMed,IL-6,Correlates with,Neutrophils,“Neutrophils in GCF exhibited a positive correlation with PPD (sum)”
20798974,PubMed,IL-8,Induces,Macrophages,“Oral Gram-negative bacteria elicited significantly greater IL-8 levels from macrophages”
39936030,PubMed,IL-6,Induces,Neutrophils,“gingipains play a significant role in the disruption of immune cell functions via the induction of reactive oxygen species”
39936030,PubMed,Neutrophils,Recruits,Macrophages,“induction of reactive oxygen species and inactivation of neutrophil elastase activity”
35244951,PubMed,Dendritic cells,associated with,Neutrophils,"""Chemokines and cytokines are released that attract macrophages, dendritic cells, and T cells to the site."""
35244951,PubMed,Neutrophils,recruited by,Macrophages,"""Chemokines and cytokines are released that attract macrophages, dendritic cells, and T cells to the site."""
40008712,PubMed,Macrophages,express,IL-1B,"""increased expression of Il-1b"""
25866935,PubMed,Macrophages,express,IL-6,"""AM and iNOS were co-localized in particular cells within inflamed tissues, namely CD68(+) (52%) and CD14(+) (36%) macrophages"""
40008712,PubMed,Neutrophils,express,IL-1B,"""increased expression of Il-1b"""
17720859,PubMed,Macrophages,secrete,IL-1B,"“stimulate the production of high levels of IL-1beta, IL-6, IL-8, and tumor necrosis factor alpha (TNF-alpha) by macrophages”"
27126447,PubMed,Neutrophils,associated with,IL-6,"“higher secretion of IL-1β, IL-6, and KC (IL-8) by peritoneal macrophages”"
27126447,PubMed,Macrophages,associated with,IL-6,"“higher secretion of IL-1β, IL-6, and KC (IL-8) by peritoneal macrophages”"
27126447,PubMed,Macrophages,associated with,IL-8,"“higher secretion of IL-1β, IL-6, and KC (IL-8) by peritoneal macrophages”"
18328075,PubMed,Dendritic cells,secrete,IL-6,"“Toll-like receptors (TLRs) are a group of sensors on the surface of antigen-presenting cells, such as dendritic cells and macrophages, which recognize microbial pathogens and induce innate and adaptive immune responses”"
18328075,PubMed,Dendritic cells,associated with,Macrophages,"“Toll-like receptors (TLRs) are a group of sensors on the surface of antigen-presenting cells, such as dendritic cells and macrophages”"
25741691,PubMed,Neutrophils,associated with,Macrophages,“the LAD subgingival microbiome is distinct from that of health and Localized Aggressive Periodontitits”
25741691,PubMed,Parvimonas micra,associated with,Neutrophils,“Select periodontitis-associated species in the LAD microbiome included Parvimonas micra”
25741691,PubMed,Parvimonas micra,associated with,Macrophages,“Select periodontitis-associated species in the LAD microbiome included Parvimonas micra”
40013015,PubMed,Neutrophils,secrete,IL-6,“reduced P. gingivalis-induced secretion of interleukins IL-6”
41065279,PubMed,Dendritic cells,interact with,Macrophages,“dendritic cells detect smaller pathogens”
41065279,PubMed,Dendritic cells,interact with,Neutrophils,“dendritic cells detect smaller pathogens”
41065279,PubMed,Neutrophils,interact with,Macrophages,“neutrophils act as double-edged defenders”
41065279,PubMed,Neutrophils,interact with,Dendritic cells,“neutrophils act as double-edged defenders”
41221328,PubMed,IL-8,Inhibits,Macrophages,"“Ibrutinib and R406 suppressed Pg infection-induced activation of the NLRP3-dependent pyroptosis pathway and IL-1β secretion in hMDMs. Both compounds also significantly reduced IL-6, IL-8, and TNFα release by hMDM in both infection models.”"
31179464,PubMed,IL-8,Modulates,Macrophages,“Bismuth drugs enabled the counteraction of immuno-inflammatory responses in different host cells perturbed by P. gingivalis. The production of IL-6 and IL-8 attenuated by P. gingivalis in both of native and IL-1β-stimulated HGEPs was restored.”
15811635,PubMed,IL-1B,Stimulates,Macrophages,“P. gingivalis cells stimulated the secretion of pro-inflammatory cytokines (IL-1beta and IL-6) and chemokines (IL-8 and RANTES) in the co-culture model.”
15811635,PubMed,IL-8,Stimulates,Macrophages,“P. gingivalis cells stimulated the secretion of pro-inflammatory cytokines (IL-1beta and IL-6) and chemokines (IL-8 and RANTES) in the co-culture model.”
40865715,PubMed,IL-1B,Inhibits,IL-8,“Both groups showed a significant reduction in IL-17 levels on 60 and 90 days. The intergroup comparison has revealed no statistically significant differences.”
40865715,PubMed,IL-6,Inhibits,IL-8,“Both groups showed a significant reduction in IL-17 levels on 60 and 90 days. The intergroup comparison has revealed no statistically significant differences.”
17888725,PubMed,IL-6,Correlates with,Neutrophils,“High levels of IL-beta correlated with a high proportion of A. actinomycetemcomitans in clinical samples from a patient with aggressive periodontitis.”
CL_0000235,ImmuneXpresso,Macrophages,cell-cytokine interaction (Positive),IL-1B,"record [CL_0000235, IL-1B]: 122 paper(s), enrichment score 5.62"
CL_0000235,ImmuneXpresso,Macrophages,cell-cytokine interaction (Positive),IL-6,"record [CL_0000235, IL-6]: 103 paper(s), enrichment score 2.55"
CL_0000775,ImmuneXpresso,Neutrophils,cell-cytokine interaction (Positive),IL-1B,"record [CL_0000775, IL-1B]: 24 paper(s), enrichment score 2.03"
CL_0000775,ImmuneXpresso,IL-6,cell-cytokine interaction (Positive),Neutrophils,"record [CL_0000775, IL-6]: 21 paper(s), enrichment score 0.59"
CL_0000451,ImmuneXpresso,IL-6,cell-cytokine interaction (Positive),Dendritic cells,"record [CL_0000451, IL-6]: 3 paper(s), enrichment score 0.5"
CL_0000235,ImmuneXpresso,macrophage,cell-cytokine interaction (Positive),IL-1B,"record [CL_0000235, IL-1B]: 122 paper(s), enrichment score 5.62"
CL_0000576,ImmuneXpresso,monocyte,cell-cytokine interaction (Positive),IL-1B,"record [CL_0000576, IL-1B]: 87 paper(s), enrichment score 6.2"
CL_0000138,ImmuneXpresso,IL-1B,cell-cytokine interaction (Positive),chondrocyte,"record [CL_0000138, IL-1B]: 38 paper(s), enrichment score 11.47"
CL_0000235,ImmuneXpresso,macrophage,cell-cytokine interaction (Positive),IL-6,"record [CL_0000235, IL-6]: 103 paper(s), enrichment score 2.55"
CL_0000576,ImmuneXpresso,monocyte,cell-cytokine interaction (Positive),IL-6,"record [CL_0000576, IL-6]: 87 paper(s), enrichment score 3.49"
CL_0000057,ImmuneXpresso,fibroblast,cell-cytokine interaction (Positive),IL-6,"record [CL_0000057, IL-6]: 63 paper(s), enrichment score 4.85"
