Biological Relationship Name,PMID or Knowledge Base ID,Evidence Source,List of Elements,Quoted Evidence
Association with periodontal disease,25713575,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,"“bacterial pathogens commonly associated with periodontal disease are... Porphyromonas gingivalis, Tannerella forsythia, and Treponema denticola”"
Association with systemic disorders,41226590,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,"“key periodontal pathogens implicated in disease pathogenesis include Porphyromonas gingivalis, Treponema denticola, Tannerella forsythia”"
Association with host-pathogen interactions,31517596,PubMed,Porphyromonas gingivalis; Treponema denticola,“SiaPG and P. gingivalis was inhibited using the commercially available chemotherapeutic zanamivir”
Associated with periodontitis,41364164,PubMed,Porphyromonas gingivalis; Tannerella forsythia; Treponema denticola,"“Porphyromonas gingivalis, Tannerella forsythia, and Treponema denticola are key bacterial risk factors for periodontitis”"
Correlated with severity of periodontal destruction,24554879,PubMed,Porphyromonas gingivalis; Tannerella forsythia; Treponema denticola,“These bacteria correlated with the severity of periodontal destruction”
Associated with inflammatory response,37288705,PubMed,Porphyromonas gingivalis; Treponema denticola,“revealed an association between periodontitis and oral microbes”
Correlates with,26194628,PubMed,Porphyromonas gingivalis; IL-1B,“High cortisol levels showed a positive significant correlation with P. gingivalis”
Activation of Th17 cells,41753333,PubMed,Th17; IL-1A; IL-1B; Porphyromonas gingivalis,“The IL-1A CC genotype significantly increased the odds of P. gingivalis ... presence.”
Induction of Th17 differentiation,36312320,PubMed,Th17; Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,“OMVs of P. gingivalis and T. denticola induced the differentiation of Th17 cells.”
Production of proinflammatory cytokines,25434071,PubMed,IL-6; Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,“The presence of certain micro-organisms in the periodontal environment is associated to increased levels of proinflammatory cytokines ...”
Synergistic IL-6 production,19162208,PubMed,IL-6; Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,“Mixed infection with P. gingivalis and either T. forsythia or T. denticola acted synergistically to increase IL-6 production.”
Promotion of Th17 pathways,28497028,PubMed,Th17; IL-6; Porphyromonas gingivalis,"“Gingipain-dependent induction of Th17 cells was highly specific, since other T cell-subsets remained unchanged.”"
Induces chronic systemic inflammation,37513004,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,"“These pathogens elicit the release of cytokines, which in combination with their virulence factors induce chronic systemic inflammation...”"
Correlates with cognitive decline,41612446,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,“...oral disease may act as a persistent peripheral amplifier of central immune activation.”
Involves immune mediators,40136726,PubMed,IL-1B; IL-6,"“...biomarkers, such as C-reactive protein, interleukins, and matrix metalloproteinases (MMPs)...”"
Activation of NF-κB pathway,40008712,PubMed,IL-1B; IL-6,"“Bmal1 knockout exacerbates periodontitis severity in mice by activating the NF-κB signaling pathway with increased expression of Il-1b, Il-6”"
Association with oral inflammatory biomarkers,42306532,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,"“the relative expression of red complex bacteria-Porphyromonas gingivalis (Pg), Treponema denticola (Td), and Tannerella forsythia (Tf) among groups with periodontitis”"
Association with periodontitis severity,41155306,PubMed,Porphyromonas gingivalis; Tannerella forsythia; Treponema denticola,"“Porphyromonas gingivalis, Tannerella forsythia, and Treponema denticola are key bacterial risk factors for periodontitis”"
Association with periodontal disease,36839184,PubMed,Porphyromonas gingivalis; Tannerella forsythia; Treponema denticola,“Dysbiosis of the subgingival microbiota in obese and overweight individuals was associated with increased prevalence and severity of periodontal disease”
Associated with periodontal disease,34707586,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,"“The members of the red complex (Porphyromonas gingivalis, Treponema denticola, and Tannerella forsythia) have long been associated as the cause of periodontitis”"
Induces Th17 cell differentiation,36312320,PubMed,Th17; Porphyromonas gingivalis,“OMVs of P. gingivalis and T. denticola induced the differentiation of Th17 cells”
Induces IL-6 production,20331798,PubMed,IL-6; Porphyromonas gingivalis; Treponema denticola,“Mono and mixed challenges with whole bacterial cells or LPS induced the secretion of high amounts of IL-6”
Correlates with Th17 response,24683190,PubMed,Th17; Porphyromonas gingivalis; IL-6,“IL-17 production was significantly correlated with periodontal disease-induced IL-6”
Associates with IL-1 gene polymorphisms,11073323,PubMed,IL-1B; Porphyromonas gingivalis,“Polymorphisms in the cluster of IL-1 genes have been significantly associated with the severity of adult periodontitis”
Secretion of pro-inflammatory cytokines,40136726,PubMed,IL-6; Porphyromonas gingivalis; Tannerella forsythia; Treponema denticola,"“release of pro-inflammatory cytokines (such as IL-1, IL-6, TNF-α)”"
Correlates with periodontal disease,28611978,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,“major pathogens responsible for chronic periodontitis”
Activation of immune cells,40136726,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,“Periodontal pathogens trigger endothelial oxidative stress and systemic inflammation via Toll-like receptors (TLRs)”
Increased expression of IL-1B,40008712,PubMed,IL-1B; Porphyromonas gingivalis,“increased expression of Il-1b”
Co-infection with Porphyromonas gingivalis,26600627,PubMed,Porphyromonas gingivalis; Treponema denticola; Tannerella forsythia,"“A high correlation (p= 0.000) was found among P. gingivalis, T. denticola, and T. forsythia co-infection”"
Involved in,25152229,PubMed,Treponema denticola; Tannerella forsythia,“coaggregation between Treponema denticola and Tannerella forsythia”
Involved in,25152229,PubMed,Porphyromonas gingivalis; Treponema denticola,“co-isolated with high frequency from chronic periodontitis lesions”
Involved in,25152229,PubMed,Porphyromonas gingivalis; Tannerella forsythia,“co-isolated with high frequency from chronic periodontitis lesions”
cell-cytokine interaction,CL_0000235,ImmuneXpresso,macrophage; IL-1B,"record [CL_0000235, IL-1B]: 122 paper(s), enrichment score 5.62"
cell-cytokine interaction,CL_0000576,ImmuneXpresso,monocyte; IL-1B,"record [CL_0000576, IL-1B]: 87 paper(s), enrichment score 6.2"
cell-cytokine interaction,CL_0000138,ImmuneXpresso,IL-1B; chondrocyte,"record [CL_0000138, IL-1B]: 38 paper(s), enrichment score 11.47"
cell-cytokine interaction,CL_0000235,ImmuneXpresso,macrophage; IL-6,"record [CL_0000235, IL-6]: 103 paper(s), enrichment score 2.55"
cell-cytokine interaction,CL_0000576,ImmuneXpresso,monocyte; IL-6,"record [CL_0000576, IL-6]: 87 paper(s), enrichment score 3.49"
cell-cytokine interaction,CL_0000057,ImmuneXpresso,fibroblast; IL-6,"record [CL_0000057, IL-6]: 63 paper(s), enrichment score 4.85"
cell-cytokine interaction,CL_0000312,ImmuneXpresso,keratinocyte; IL-1A,"record [CL_0000312, IL-1A]: 19 paper(s), enrichment score 26.56"
cell-cytokine interaction,CL_0000235,ImmuneXpresso,macrophage; IL-1A,"record [CL_0000235, IL-1A]: 18 paper(s), enrichment score 4"
cell-cytokine interaction,CL_0000576,ImmuneXpresso,monocyte; IL-1A,"record [CL_0000576, IL-1A]: 13 paper(s), enrichment score 4.85"
